id,pose rmsd,pocket rmsd,qs score,lddt-pli,confidence
b6ywb8,1.1696205139160156,8.275599402320834,1.0,0.7910022735595703,0.9486203000446978
d9j2t9,3.1101555824279785,0.21337371740495298,1.0,0.6457499861717224,0.9214186669962359
o14936,0.3134217858314514,17.117390578417247,1.0,0.9837533235549927,0.937571962259741
o14965,0.4943265914916992,5.060181948856374,1.0,0.7675890922546387,1.0752512519878945
o15530,0.5220560431480408,31.14303320289094,1.0,0.7635459303855896,0.9942279273834796
o60885,4.707696437835693,3.8341052211527193,1.0,0.4299761652946472,0.913430844946217
o75530,0.8128994107246399,2.9611386162923257,1.0,0.8949044346809387,1.0018170498389471
p00044,,1.685100949927251,1.0,,0.6218495298336932
p00183,,3.4644756474678404,1.0,,0.9384997175045021
p00533,0.952649712562561,4.503823701507436,1.0,0.8616188168525696,0.9105746233325074
p00698,14.872764587402344,1.0914184366051904,1.0,0.009234828874468803,0.7720891059723805
p00734,,,1.0,,0.9363738228704893
p00760,4.662196159362793,1.8192841382532128,1.0,0.3499999940395355,0.737982817320318
p00772,2.9796552658081055,3.371155980583879,1.0,0.7087458968162537,0.868484623450404
p01112,,6.243507908587716,1.0,,0.8097489053455565
p01116,,3.4177906158650355,1.0,,0.9812507517991366
p01584,20.702457427978516,4.212530097797422,1.0,0.0,0.8337107477360524
p02699,18.02655792236328,2.854329723838376,0.0,0.035185184329748154,0.8869575028000586
p02753,,12.607111899954358,1.0,,1.0182403711124446
p02768,19.64751625061035,3.0105063131201732,1.0,0.0003528581582941115,0.7579143071385362
p02829,,2.493933078410865,0.0,,0.9498379626756371
p03007,0.6312438249588013,0.07962709131726889,1.0,0.9194139242172241,1.0111356552259
p03366,16.27548599243164,2.205744832732105,1.0,0.0,0.29154838146624307
p03369,,4.64530366076972,1.0,,0.5314710168024646
p04150,1.0339921712875366,2.7982113849663386,1.0,0.7250778675079346,1.1543040250077523
p04585,19.436038970947266,1.5212980860528191,1.0,0.0,0.2875222874034534
p04637,17.054800033569336,4.716200939654969,1.0,0.04829268157482147,0.7224663692042705
p05121,1.0243117809295654,4.784294857682437,0.0,0.734337329864502,0.908029376905132
p05230,0.9066165685653687,1.5745230004740103,1.0,0.8875501751899719,0.8556063301446228
p06129,14.077713012695312,3.9459301844597636,1.0,0.01785714365541935,0.8234558905891708
p06401,,3.924195990108639,0.0,,1.1911902301214194
p06730,,2.005977204450695,1.0,,0.8524301091083335
p06873,26.169164657592773,3.1432831910048167,1.0,0.0,0.878470505576819
p07260,,1.6955450713935185,1.0,,0.9550471719609722
p07900,0.39638686180114746,4.472096599008456,1.0,0.9708715677261353,0.9715345489085309
p08069,1.3610438108444214,4.316683922341047,1.0,0.8127198219299316,0.933620868350509
p08235,3.1456403732299805,2.969986662790657,0.0,0.4648178815841675,1.0833613222324376
p09391,,1.9499122079959883,1.0,,0.8708039736138057
p09874,0.47642597556114197,2.717182105475772,0.0,0.9280238747596741,0.9722229641337666
p0a6a8,0.6532599329948425,3.3652333169768642,1.0,0.9399280548095703,0.8649345419304881
p0a776,,4.839254184012797,1.0,,0.9742626952867964
p0aa04,,,1.0,,0.8851742696261241
p0acc1,0.7907928228378296,0.4028414259036239,1.0,0.826718270778656,0.8952947142592462
p0ad64,0.4567274749279022,3.8274650039211395,1.0,0.9817262887954712,0.9636540602428332
p0aex9,,3.547468781555345,1.0,,0.8529021944570889
p10275,0.1868353635072708,3.785142834367818,1.0,0.9706840515136719,1.177146558741855
p10599,5.809420585632324,4.047569113944815,1.0,0.3243727684020996,0.7908731955085377
p10828,,3.79441520842463,0.0,,1.0189571591798527
p11142,3.4988863468170166,2.5630638180437075,1.0,0.46658098697662354,0.7191410613318312
p11233,,2.4916143922403764,1.0,,0.757977945276736
p11838,14.089702606201172,4.004733306938766,1.0,0.04469696804881096,0.7890177938487661
p12369,0.15914563834667206,3.5450657053557397,1.0,0.9765744805335999,1.01128464771624
p13423,,3.911822792830624,1.0,,0.8332528273000406
p15319,3.405754804611206,2.606721724952137,0.0,0.5711722373962402,0.8503047249656104
