id,pose rmsd,pocket rmsd,qs score,lddt-pli,confidence
b6ywb8_dtp,1.3143373012542725,8.287932413645015,0.5202382794145681,0.7793779969215393,0.947866599474272
d9j2t9_mgp,3.307547426223755,0.20067320120640614,0.8897006714979927,0.6159202456474304,0.9112611536681683
o14936_v5w,0.37226887941360476,17.06600119822385,0.22836028232673197,0.978213107585907,0.9211550865796505
o14936_v6b,6.491138701837713,17.084147581879016,0.2301915848226676,,0.9209331745278078
o14965_ljf,0.6692595034837723,4.20976673726889,0.513589115395581,0.7627450674772263,1.07755876031019
o14965_nrm,15.59060245538859,4.474868087261043,0.44265252448060766,,1.0880919181456885
o15530_3q4,16.104694921293657,4.665031515487446,0.20261993506051076,,1.0074757585695915
o15530_mp7,0.6732825636863708,4.03554267392041,0.2920431106337438,0.7733019292354584,1.01370664734075
o60885_5j5,9.796067714691162,2.983707301878033,0.3494156121298834,0.22312064841389656,0.8887426148428345
o75530_nds,0.9775749921798706,3.1733605996099046,0.48894747440711794,0.8914387106895447,1.0057875160093377
p00044_80m,16.54377942859959,2.7941870476483266,0.17452818340183113,,0.5718193847294228
p00044_evb,2.821005538318861,4.721398098357123,0.7124307297200287,,0.6734623038763117
p00183_cam,5.5892495971604985,3.460914257181011,0.4472099943072143,,0.924895493889802
p00533_8jc,1.2758497714996337,3.7179133610977417,0.45317749538939933,0.7973389387130737,0.9022020720791206
p00698_pdc,15.253450012207031,2.130508429348309,0.355088092710217,0.008471700735390187,0.7687235893337994
p00734_ftr,,,,,0.9242302194755068
p00760_bet,7.26109094619751,3.2041205086906546,0.2953802012183739,0.2283921495079994,0.7682072443172864
p00772_217,3.6721834182739257,3.2225349953089846,0.47235311513315265,0.6147360324859619,0.8606452506623977
p01112_92v,4.996144852250113,3.211250928129344,0.642123283579537,,0.668206649235182
p01112_rsf,4.956627124892377,5.335378618777925,0.548159883933336,,0.8009847762219163
p01116_7nl,1.6411373485357603,3.4266318879318427,0.7035988644633963,,0.9756694820474291
p02699_bgl,2.5148129425400634,3.6285334159139198,0.5849133307716805,,0.8484374517437768
p02699_htg,18.225411415100098,2.2891979323410707,0.3798164755172155,0.03266174905002117,0.8758002517287722
p02753_rtl,5.0319958894026104,12.60076461897797,0.30969753376847076,,1.0127866058282025
p02768_imn,19.665442784627277,3.2417779128422715,0.5412275510194496,0.0003499891560447092,0.7565105691987254
p02829_rda,2.8044039890335166,3.7151931875558,0.2507554270300076,,0.9388569618551369
p03007_tmp,0.7744175434112549,0.08577561674261217,0.9455196002997022,0.8959287405014038,1.0174351042271685
p03366_f95,16.27548599243164,2.205744832732105,,0.0,0.29154838146624307
p04150_hj4,1.1138906717300414,3.6079283631232357,0.5730675586315582,0.7227321028709411,1.1520348500741087
p04585_p1y,19.436038970947266,1.5212980860528191,,0.0,0.2875222874034534
p04637_p74,17.054800033569336,4.716200939654969,0.4189915959370212,0.04829268157482147,0.7224663692042705
p04637_r50,13.484137371059894,3.116973370948491,0.36986105361748906,,0.7031372582449057
p05121_tb7,1.5770776510238647,3.8656711147152216,0.1996519560149347,0.7025008082389832,0.9118399606926593
p05230_gtq,2.625121998786926,2.066277947816851,0.44562045025512065,0.6966882526874543,0.8280436285433932
p06129_mtn,16.498733520507812,2.814740835006022,0.41213730761274775,0.008928571827709675,0.830537220952515
p06401_30x,9.818158354396402,3.413011436227316,0.6647251582187739,,1.1834230859887
p07260_m7g,6.449783314661157,1.7048162194856435,0.7343130178438317,,0.9477147897494032
p07900_73j,0.9970207214355469,8.081065216912803,0.2356675252244747,0.8747501373291016,0.9682839334552563
