id,pose rmsd,pocket rmsd,qs score,lddt-pli,confidence
b6ywb8,10.404792785644531,23.318392927124698,1.0,0.09095362573862076,0.9254150390625
d9j2t9,18.99611473083496,17.658349587044384,1.0,0.0032808398827910423,0.9084182977676392
o14936,21.09970474243164,20.075346677669003,1.0,0.005332764703780413,0.918916642665863
o14965,11.84096908569336,22.144554176255898,1.0,0.009570765309035778,0.965983510017395
o15530,11.446009635925293,18.653276674820894,1.0,0.024384113028645515,0.9606872797012329
o60885,12.750197410583496,14.616286417188446,1.0,0.06561876088380814,0.8583903908729553
o75530,17.276416778564453,,1.0,0.007793765049427748,0.9299758672714233
p00533,13.729543685913086,30.963448698460127,1.0,0.014643463306128979,0.9029561281204224
p00698,5.462051868438721,17.743459406147277,1.0,0.19039450585842133,0.9683235883712769
p00760,7.97799015045166,20.277822953574407,1.0,0.014864864759147167,0.9318089485168457
p00772,9.392526626586914,25.6108874310984,1.0,0.0461275614798069,0.9505470395088196
p01584,14.545782089233398,16.604807477052326,1.0,0.0008389261784031987,0.9811109900474548
p02699,5.438992023468018,27.072110169196968,0.0,0.1640625,0.858745813369751
p02768,5.071165084838867,22.823675337611988,1.0,0.45072463154792786,0.9499860405921936
p03007,7.932995796203613,19.107323147548012,1.0,0.01976102963089943,0.9682279825210571
p03366,10.410614967346191,14.978137872004655,1.0,0.06654676049947739,0.8224502205848694
p04150,10.224447250366211,19.53094957081539,1.0,0.021687697619199753,0.9053231477737427
p04585,14.174824714660645,21.50270487550244,1.0,0.08477633446455002,0.8782522678375244
p04637,16.788755416870117,19.209419333016964,1.0,0.08165708929300308,0.9573125243186951
p05121,10.407365798950195,13.867997291586029,0.0,0.004364524967968464,0.9782471656799316
p05230,3.342961549758911,15.58806240883206,1.0,0.17771638929843903,0.9713990092277527
p06129,5.033972263336182,24.86627964718334,1.0,0.0031104199588298798,0.9283776879310608
p06873,20.51006507873535,16.161388735884547,1.0,0.0,0.9343713521957397
p07900,12.630472183227539,14.153207193384487,1.0,0.020634230226278305,0.9505701661109924
p08069,26.8338565826416,17.516245647681835,1.0,0.0041693393141031265,0.9159985780715942
p08235,14.862996101379395,33.47470081896126,0.0,0.04559748247265816,0.8975750803947449
p09391,6.208981990814209,18.243044962362262,1.0,0.16853933036327362,0.9543392658233643
p09874,5.928743839263916,32.35817696577256,0.0,0.11739379912614822,0.9059946537017822
p0a6a8,19.85186004638672,12.299181685803998,1.0,0.04915878176689148,0.9159398078918457
p0acc1,9.810321807861328,14.15307881660398,1.0,0.06716418266296387,0.9394509792327881
p0ad64,10.512060165405273,19.71181725980763,1.0,0.12442290037870407,0.9615924954414368
p10275,6.544161796569824,27.996217499371337,1.0,0.08798449486494064,0.9402046799659729
p10599,26.72625732421875,,1.0,0.0,0.9714333415031433
p11142,20.57737922668457,7.173350753601014,1.0,0.0019762846641242504,0.8300656080245972
p11838,21.70479965209961,20.421001788370116,1.0,0.0,0.9601572155952454
p12369,9.9599027633667,15.167650352183403,1.0,0.03439424932003021,0.9392864108085632
p15319,16.374452590942383,36.38346421992301,0.0,0.002364066196605563,0.9721287488937378
